ISO;Score 2025;Rank;Political Context;Rank_Pol;Economic Context;Rank_Eco;Legal Context;Rank_Leg;Social Context;Rank_Soc;Safety;Rank_Saf;Zone;Country_FR;Country_EN;Country_ES;Country_PT;Country_AR;Country_FA;Year (N);Rank N-1;Rank evolution;Score N-1;Score evolution
LBN;4262;132;4674;86;3031;154;4864;123;4341;138;4399;132;MENA;Liban;Lebanon;Líbano;Líbano ;?????;?????;2025;140;8;4191;0,71
COD;4231;133;4047;110;3477;130;4808;124;5628;104;3194;154;Afrique;RD Congo;DR Congo;RD Congo;RD Congo;??????? ??????? ???????????;?????? ???????? ????;2025;123;-10;4891;-6,6
BLR;2573;166;1327;174;3614;117;1904;172;3665;149;2352;171;EEAC;Bélarus;Belarus;Belarús;Bielorrússia ;????? ???????;????? ????;2025;167;1;268;-1,07
SLV;4119;135;2395;157;4111;92;472;129;4626;130;474;124;Amériques;Salvador;El Salvador;El Salvador;El Salvador ;?????????;???????????;2025;133;-2;4401;-2,82
SOM;4049;136;3653;128;3915;104;424;142;4483;135;3953;143;Afrique;Somalie;Somalia;Somalia;Somália ;???????;??????;2025;145;9;394;1,09
TJK;3221;153;2306;160;2891;159;3764;147;3283;158;386;146;EEAC;Tadjikistan;Tajikistan;Tayikistán;Tajiquistão ;?????????;?????????;2025;155;2;3331;-1,1
GTM;4032;138;3936;114;3339;135;5412;111;3716;148;3756;147;Amériques;Guatemala;Guatemala;Guatemala;Guatemala ;?????????;????????;2025;138;0;4228;-1,96
LKA;3993;139;3696;125;3218;145;4661;131;3845;145;4546;130;Asie-Pacifique;Sri Lanka;Sri Lanka;Sri Lanka;Sri Lanka ;??? ?????;????????;2025;150;11;3521;4,72
HKG;3986;140;274;146;4476;74;3676;149;4667;128;43715;135;Asie-Pacifique;Hong Kong;Hong Kong;Hong Kong;Hong Kong ;???? ????;??? ???;2025;135;-5;4306;-3,2
TZA;5368;95;4672;87;4204;87;5402;113;5919;92;6646;107;Afrique;Tanzanie;Tanzania;Tanzania;Tanzânia ;???????;????????;2025;97;2;548;-1,12
HND;3851;142;3022;142;3138;149;463;132;4101;142;4362;137;Amériques;Honduras;Honduras;Honduras;Honduras ;???????;???????;2025;146;4;3818;0,33
UGA;3761;143;237;159;309;151;4485;134;4486;134;43721;134;Afrique;Ouganda;Uganda;Uganda;Uganda ;??????;???????;2025;128;-15;46;-8,39
KGZ;3746;144;26;147;401;99;4405;136;4337;139;3375;151;EEAC;Kirghizistan;Kyrgyzstan;Kirguistán;Quirguistão ;?????????;?????????;2025;120;-24;4911;-11,65
ETH;3692;145;3146;139;3473;131;5107;118;3787;146;2948;157;Afrique;Éthiopie;Ethiopia;Etiopía;Etiópia ;???????;??????;2025;141;-4;4137;-4,45
RWA;3584;146;2589;148;2716;161;4747;127;4791;127;3077;156;Afrique;Rwanda;Rwanda;Ruanda;Ruanda ;??????;?????;2025;144;-2;4054;-4,7
JOR;3525;147;309;140;3095;150;2989;160;3265;159;5185;119;MENA;Jordanie;Jordan;Jordania;Jordânia ;??????;????;2025;132;-15;443;-9,05
UZB;3524;148;2555;150;3299;138;4197;143;3588;151;3983;140;EEAC;Ouzbékistan;Uzbekistan;Uzbekistán;Uzbequistão ;?????????;?????????;2025;148;0;3727;-2,03
BGD;3371;149;2903;145;3379;134;3671;150;3987;144;2917;159;Asie-Pacifique;Bangladesh;Bangladesh;Bangladés;Bangladesh ;????????;???????;2025;165;16;2764;6,07
AFG;1788;175;1778;163;251;165;1143;178;1892;175;1616;175;Asie-Pacifique;Afghanistan;Afghanistan;Afganistán;Afeganistão ;?????????;?????????;2025;178;3;1909;-1,21
IND;3296;151;243;155;3417;132;4264;141;3238;160;313;155;Asie-Pacifique;Inde;India;India;Índia ;?????;???;2025;159;8;3128;1,68
