ISO;Score;Rank;Political Context;Rank_Pol;Economic Context;Rank_Eco;Legal Context;Rank_Leg;Social Context;Rank_Soc;Safety;Rank_Saf;Zone;Country_FR;Country_EN;Country_ES;Country_PT;Country_AR;Country_FA;Year (N);Rank N-1;Rank evolution;Score N-1;Score evolution
ETH;477;130;5025;111;4314;113;6264;89;4364;146;3882;146;Afrique;Éthiopie;Ethiopia;Etiopía;Etiópia ;أثيوبيا;اتیوپی;2023;114;-16;5053;-2,83
RWA;4658;131;40;149;348;151;5887;101;5833;110;4091;143;Afrique;Rwanda;Rwanda;Ruanda;Ruanda ;رواندا;روندا;2023;136;5;4518;1,4
PHL;4621;132;4396;135;402;122;522;120;5739;114;373;148;Asie-Pacifique;Philippines;Philippines;Filipinas;Filipinas ;الفلبين;فلیپین;2023;147;15;4184;4,37
UGA;4608;133;4575;129;398;126;5434;118;60;100;3052;164;Afrique;Ouganda;Uganda;Uganda;Uganda ;أوغندا;اوگاندا;2023;132;-1;4635;-0,27
KAZ;4587;134;4406;134;3603;143;4434;139;5937;104;4554;133;EEAC;Kazakhstan;Kazakhstan;Kazajistán;Cazaquistão ;كازاخستان;قزاقستان;2023;122;-12;4828;-2,41
LKA;4585;135;4094;146;4853;76;434;143;4205;148;5432;116;Asie-Pacifique;Sri Lanka;Sri Lanka;Sri Lanka;Sri Lanka ;سري لانكا;سریلانکا;2023;146;11;4213;3,72
DZA;4574;136;4214;142;3613;141;4609;136;526;129;5172;122;MENA;Algérie;Algeria;Argelia;Argélia ;الجزائر;الجزایر;2023;134;-2;4553;0,21
UZB;4573;137;4552;132;384;132;522;120;4356;147;4898;127;EEAC;Ouzbékistan;Uzbekistan;Uzbekistán;Uzbequistão ;أوزبكستان;اوزبکستان;2023;133;-4;4574;-0,01
CMR;4558;138;425;141;3599;144;4407;141;5877;107;4658;131;Afrique;Cameroun;Cameroon;Camerún;Camarões ;الكاميرون;کامرون;2023;118;-20;491;-3,52
COL;4523;139;5563;84;3505;149;641;83;3737;156;3401;155;Amériques;Colombie;Colombia;Colombia;Colômbia ;كولومبيا;کلمبیا;2023;145;6;4243;2,8
HKG;4486;140;4043;148;4589;95;3832;150;5651;118;4315;135;Asie-Pacifique;Hong Kong;Hong Kong;Hong Kong;Hong Kong ;هونغ كونغ;هنگ کنگ;2023;148;8;4164;3,22
SOM;4424;141;5344;98;4449;108;4363;142;5114;133;285;169;Afrique;Somalie;Somalia;Somalia;Somália ;الصومال;سومالی;2023;140;-1;4401;0,23
